model_name,arch,init,protocol,init_mode,epoch_variant,dependency_model_name,threat_norm,threat_eps,priority,notes,model,model.experiment_name,model.experiment_num,model.v1_noise_mode,model.compile_model,output_dir,training.epochs,training.batch_size,attacks.advtrain,attacks.attack_criterion,attacks.attack_norm,attacks.attack_domain,attacks.attack_eps,attacks.v1_attack_eps,attacks.gradnorm,attacks.gradnorm_penalty_norm,dataset.dvd.enabled,dataset.dvd.variant,continuation.enabled,continuation.use_ema,checkpointing.save_best_adv,epsilon_schedule.enabled,epsilon_schedule.type,epsilon_schedule.source_epsilon,epsilon_schedule.target_epsilon,epsilon_schedule.warmup_epochs,epsilon_schedule.ramp_start_epoch,epsilon_schedule.ramp_end_epoch,epsilon_schedule.fixed_start_epoch,lr_scheduler.lrb
convnext_base_dvd_b_l1_cont8to12_init0_resetepoch,convnext_base,0,madry,continuation,resetepoch,convnext_base_dvd_b_l1_cont4to8_init0_resetepoch,l1,12,10043,cont 8->12 from convnext_base_dvd_b_l1_cont4to8_init0_resetepoch (continuation),convnext_base,convnext_base_dvd_b_l1_cont8to12_init0_resetepoch,0,,True,results/models,50,512,True,madry,l1,,12,,,,true,dvd-b,true,true,true,true,warmup_ramp_fixed,8,12,4,5,35,36,1e-4
convnext_base_dvd_b_l1_cont4to6_init0_contepoch,convnext_base,0,madry,resume,contepoch,convnext_base_dvd_b_l1_4_init0,l1,6,10044,cont 4->6 from convnext_base_dvd_b_l1_4_init0 (resume),convnext_base,convnext_base_dvd_b_l1_cont4to6_init0_contepoch,0,,True,results/models,240,512,True,madry,l1,,6,,,,true,dvd-b,,true,true,true,warmup_ramp_fixed,4,6,204,205,230,231,1e-4
convnext_base_dvd_b_l1_cont4to8_init0_contepoch,convnext_base,0,madry,resume,contepoch,convnext_base_dvd_b_l1_4_init0,l1,8,10045,cont 4->8 from convnext_base_dvd_b_l1_4_init0 (resume),convnext_base,convnext_base_dvd_b_l1_cont4to8_init0_contepoch,0,,True,results/models,240,512,True,madry,l1,,8,,,,true,dvd-b,,true,true,true,warmup_ramp_fixed,4,8,204,205,230,231,1e-4
convnext_base_dvd_b_l1_cont8to12_init0_contepoch,convnext_base,0,madry,resume,contepoch,convnext_base_dvd_b_l1_cont4to8_init0_contepoch,l1,12,10046,cont 8->12 from convnext_base_dvd_b_l1_cont4to8_init0_contepoch (resume),convnext_base,convnext_base_dvd_b_l1_cont8to12_init0_contepoch,0,,True,results/models,290,512,True,madry,l1,,12,,,,true,dvd-b,,true,true,true,warmup_ramp_fixed,8,12,244,245,275,276,1e-4
convnext_base_dvd_b_l2_1_init0,convnext_base,0,madry,scratch,,,l2,1,47,madry+dvd_b l2 eps1 scratch,convnext_base,convnext_base_dvd_b_l2_1_init0,0,,True,results/models,200,512,True,madry,l2,,1,,,,true,dvd-b,,,true,,,,,,,,,
convnext_base_dvd_b_l2_2_init0,convnext_base,0,madry,scratch,,,l2,2,48,madry+dvd_b l2 eps2 scratch,convnext_base,convnext_base_dvd_b_l2_2_init0,0,,True,results/models,200,512,True,madry,l2,,2,,,,true,dvd-b,,,true,,,,,,,,,
convnext_base_dvd_b_l2_4_init0,convnext_base,0,madry,scratch,,,l2,4,49,madry+dvd_b l2 eps4 scratch,convnext_base,convnext_base_dvd_b_l2_4_init0,0,,True,results/models,200,512,True,madry,l2,,4,,,,true,dvd-b,,,true,,,,,,,,,
convnext_base_dvd_b_l2_cont4to6_init0_resetepoch,convnext_base,0,madry,continuation,resetepoch,convnext_base_dvd_b_l2_4_init0,l2,6,10050,cont 4->6 from convnext_base_dvd_b_l2_4_init0 (continuation),convnext_base,convnext_base_dvd_b_l2_cont4to6_init0_resetepoch,0,,True,results/models,40,512,True,madry,l2,,6,,,,true,dvd-b,true,true,true,true,warmup_ramp_fixed,4,6,4,5,30,31,1e-4
convnext_base_dvd_b_l2_cont4to8_init0_resetepoch,convnext_base,0,madry,continuation,resetepoch,convnext_base_dvd_b_l2_4_init0,l2,8,10051,cont 4->8 from convnext_base_dvd_b_l2_4_init0 (continuation),convnext_base,convnext_base_dvd_b_l2_cont4to8_init0_resetepoch,0,,True,results/models,40,512,True,madry,l2,,8,,,,true,dvd-b,true,true,true,true,warmup_ramp_fixed,4,8,4,5,30,31,1e-4
convnext_base_dvd_b_l2_cont8to12_init0_resetepoch,convnext_base,0,madry,continuation,resetepoch,convnext_base_dvd_b_l2_cont4to8_init0_resetepoch,l2,12,10052,cont 8->12 from convnext_base_dvd_b_l2_cont4to8_init0_resetepoch (continuation),convnext_base,convnext_base_dvd_b_l2_cont8to12_init0_resetepoch,0,,True,results/models,50,512,True,madry,l2,,12,,,,true,dvd-b,true,true,true,true,warmup_ramp_fixed,8,12,4,5,35,36,1e-4
