batch_size	status	exit_code	log_path
64	ok	0	/home/ashtomer/projects/ares/outs/vit_arch_bench/18934567/2/batch_size_smoke/bsz_64/smoke.log
128	ok	0	/home/ashtomer/projects/ares/outs/vit_arch_bench/18934567/2/batch_size_smoke/bsz_128/smoke.log
192	ok	0	/home/ashtomer/projects/ares/outs/vit_arch_bench/18934567/2/batch_size_smoke/bsz_192/smoke.log
256	ok	0	/home/ashtomer/projects/ares/outs/vit_arch_bench/18934567/2/batch_size_smoke/bsz_256/smoke.log
320	ok	0	/home/ashtomer/projects/ares/outs/vit_arch_bench/18934567/2/batch_size_smoke/bsz_320/smoke.log
384	ok	0	/home/ashtomer/projects/ares/outs/vit_arch_bench/18934567/2/batch_size_smoke/bsz_384/smoke.log
448	ok	0	/home/ashtomer/projects/ares/outs/vit_arch_bench/18934567/2/batch_size_smoke/bsz_448/smoke.log
512	ok	0	/home/ashtomer/projects/ares/outs/vit_arch_bench/18934567/2/batch_size_smoke/bsz_512/smoke.log
576	ok	0	/home/ashtomer/projects/ares/outs/vit_arch_bench/18934567/2/batch_size_smoke/bsz_576/smoke.log
640	ok	0	/home/ashtomer/projects/ares/outs/vit_arch_bench/18934567/2/batch_size_smoke/bsz_640/smoke.log
704	ok	0	/home/ashtomer/projects/ares/outs/vit_arch_bench/18934567/2/batch_size_smoke/bsz_704/smoke.log
768	ok	0	/home/ashtomer/projects/ares/outs/vit_arch_bench/18934567/2/batch_size_smoke/bsz_768/smoke.log
832	ok	0	/home/ashtomer/projects/ares/outs/vit_arch_bench/18934567/2/batch_size_smoke/bsz_832/smoke.log
896	ok	0	/home/ashtomer/projects/ares/outs/vit_arch_bench/18934567/2/batch_size_smoke/bsz_896/smoke.log
960	oom	1	/home/ashtomer/projects/ares/outs/vit_arch_bench/18934567/2/batch_size_smoke/bsz_960/smoke.log
